status,date,type,price_total,status
sale,2017-11-05,retail_medical,153.4,sale
sale,2017-11-10,retail_medical,9.52,sale
sale,2017-11-11,retail_medical,51.59,sale
sale,2017-11-24,retail_medical,17.16,sale
sale,2017-12-17,retail_medical,16.18,sale
sale,2017-12-19,retail_medical,16.18,sale
sale,2017-12-21,retail_medical,38.58,sale
sale,2017-12-26,retail_medical,16.15,sale
sale,2017-12-26,retail_recreational,1500.0,sale
sale,2017-12-27,retail_medical,127.73,sale
sale,2017-12-28,retail_medical,11.21,sale
sale,2018-01-01,retail_medical,51.12,sale
sale,2018-01-02,retail_medical,303.88,sale
sale,2018-01-05,retail_medical,37.72,sale
sale,2018-01-09,retail_medical,42.91,sale
sale,2018-01-10,retail_medical,15.04,sale
sale,2018-01-12,retail_medical,37.47,sale
sale,2018-01-13,retail_medical,16.59,sale
sale,2018-01-15,retail_medical,51.58,sale
sale,2018-01-16,retail_medical,21.61,sale
sale,2018-01-18,retail_medical,49.32,sale
sale,2018-01-20,retail_medical,24.16,sale
sale,2018-01-22,retail_medical,34.46,sale
sale,2018-01-23,retail_medical,82.7,sale
sale,2018-01-24,retail_medical,89.86,sale
sale,2018-01-25,retail_medical,142.59,sale
sale,2018-01-26,retail_medical,106.66000000000001,sale
sale,2018-01-27,retail_medical,105.46,sale
sale,2018-01-28,retail_medical,46.78,sale
sale,2018-01-29,retail_medical,277.05,sale
sale,2018-01-30,retail_medical,663.06,sale
return,2018-01-31,retail_medical,-670.8900000000002,return
sale,2018-01-31,retail_medical,2771888.549999973,sale
sale,2018-01-31,wholesale,28317.66000000001,sale
return,2018-02-01,retail_medical,-1205.7200000000003,return
sale,2018-02-01,retail_medical,3436319.4399999534,sale
sale,2018-02-01,wholesale,69308.52,sale
return,2018-02-02,retail_medical,-584.6800000000002,return
sale,2018-02-02,retail_medical,2816219.3999999813,sale
sale,2018-02-02,wholesale,187069.84999999995,sale
return,2018-02-03,retail_medical,-731.5600000000003,return
sale,2018-02-03,retail_medical,2054999.7399999849,sale
sale,2018-02-03,wholesale,351126.0799999998,sale
return,2018-02-04,retail_medical,-682.0300000000001,return
sale,2018-02-04,retail_medical,2223322.609999999,sale
sale,2018-02-04,retail_recreational,35067.74000000009,sale
sale,2018-02-04,wholesale,1237567.2300000004,sale
return,2018-02-05,retail_medical,-571.7299999999999,return
sale,2018-02-05,retail_medical,2148807.020000003,sale
sale,2018-02-05,wholesale,1789323.310000001,sale
return,2018-02-06,retail_medical,-469.02999999999986,return
sale,2018-02-06,retail_medical,2283706.809999994,sale
sale,2018-02-06,wholesale,1791136.9900000005,sale
return,2018-02-07,retail_medical,-452.96999999999997,return
sale,2018-02-07,retail_medical,2334342.64999999,sale
sale,2018-02-07,wholesale,1497125.6200000013,sale
return,2018-02-08,retail_medical,-397.98000000000013,return
sale,2018-02-08,retail_medical,3201809.679999982,sale
sale,2018-02-08,wholesale,1289295.3199999998,sale
return,2018-02-09,retail_medical,-706.93,return
sale,2018-02-09,retail_medical,2674442.8899999806,sale
sale,2018-02-09,wholesale,636815.7699999996,sale
return,2018-02-10,retail_medical,-521.9000000000002,return
sale,2018-02-10,retail_medical,2042503.499999989,sale
sale,2018-02-10,wholesale,164914.57,sale
return,2018-02-11,retail_medical,-487.68999999999994,return
sale,2018-02-11,retail_medical,2109415.8399999957,sale
sale,2018-02-11,wholesale,1378949.5300000003,sale
return,2018-02-12,retail_medical,-1404.8100000000006,return
sale,2018-02-12,retail_medical,2167865.4499999997,sale
sale,2018-02-12,wholesale,1097625.9800000002,sale
sale,2017-07-08,retail_medical,34.32,sale
sale,2017-07-10,retail_medical,34.32,sale
sale,2017-10-02,retail_medical,61.64,sale
sale,2017-10-29,retail_medical,61.77,sale
return,2018-02-13,retail_medical,-646.8200000000002,return
sale,2018-02-13,retail_medical,2440873.779999996,sale
sale,2018-02-13,wholesale,6597263.84,sale
sale,2018-02-14,retail_recreational,56476.59000000007,sale
sale,2018-02-13,retail_recreational,46350.30999999999,sale
sale,2018-02-14,wholesale,5425418.130000001,sale
return,2018-02-14,retail_medical,-396.7800000000001,return
sale,2018-02-14,retail_medical,2407261.4699999923,sale
return,2018-02-15,retail_medical,-545.52,return
sale,2018-02-15,retail_medical,3243363.2999999854,sale
sale,2018-02-15,wholesale,3938358.220000001,sale
sale,2018-02-16,retail_medical,2707542.649999995,sale
sale,2018-02-16,wholesale,2328916.59,sale
return,2018-02-16,retail_medical,-556.3,return
return,2018-02-17,retail_medical,-265.45000000000005,return
sale,2018-02-17,retail_medical,2018656.2599999993,sale
sale,2018-02-17,wholesale,3805746.95,sale
sale,2018-02-17,retail_recreational,42606.30000000009,sale
sale,2018-02-18,wholesale,3287753.6899999985,sale
return,2018-02-18,retail_medical,-625.7400000000001,return
sale,2018-02-18,retail_medical,2086458.3900000027,sale
return,2018-02-19,retail_medical,-672.8800000000002,return
sale,2018-02-19,retail_medical,2294163.3399999915,sale
sale,2018-02-19,wholesale,4930465.900000002,sale
sale,2018-02-19,retail_recreational,62518.210000000276,sale
return,2018-02-20,retail_medical,-511.49,return
sale,2018-02-20,retail_medical,2320246.5899999966,sale
sale,2018-02-20,wholesale,4830170.1499999985,sale
sale,2018-02-20,retail_recreational,43080.64000000001,sale
return,2018-02-21,retail_medical,-464.3299999999999,return
sale,2018-02-21,retail_medical,2847167.02000001,sale
return,2018-02-21,retail_recreational,5.21,return
sale,2018-02-21,retail_recreational,62574.12999999999,sale
sale,2018-02-21,wholesale,5553224.239999996,sale
return,2018-02-22,retail_medical,-602.21,return
sale,2018-02-22,retail_medical,3290615.9400000055,sale
sale,2018-02-22,wholesale,5784070.430000001,sale
return,2018-02-23,retail_medical,-369.90000000000003,return
sale,2018-02-23,retail_medical,2756659.6099999766,sale
sale,2018-02-23,wholesale,3621122.560000001,sale
return,2018-02-24,retail_medical,-454.45,return
sale,2018-02-24,retail_medical,2151542.0299999975,sale
sale,2018-02-24,retail_recreational,47319.979999999974,sale
sale,2018-02-24,wholesale,4725064.050000001,sale
return,2018-02-25,retail_medical,-531.8300000000002,return
sale,2018-02-25,retail_medical,2231362.210000009,sale
return,2018-02-25,retail_recreational,22.82,return
sale,2018-02-25,retail_recreational,50601.07999999993,sale
sale,2018-02-25,wholesale,8022258.639999999,sale
return,2018-02-26,retail_medical,-487.78999999999996,return
sale,2018-02-26,retail_medical,2179157.9400000027,sale
sale,2018-02-26,retail_recreational,48664.79999999997,sale
sale,2018-02-26,wholesale,4569025.260000001,sale
return,2018-02-27,retail_medical,-1057.2100000000005,return
sale,2018-02-27,retail_medical,2466015.490000002,sale
sale,2018-02-27,wholesale,7331533.419999996,sale
return,2018-02-28,retail_medical,-410.1199999999999,return
sale,2018-02-28,retail_medical,2814751.499999997,sale
sale,2018-02-28,wholesale,5689943.869999996,sale
return,2018-03-01,retail_medical,-526.79,return
sale,2018-03-01,retail_medical,3377415.4900000137,sale
sale,2018-03-01,retail_recreational,101136.99000000006,sale
sale,2018-03-01,wholesale,3400040.3499999987,sale
return,2018-03-02,retail_medical,-501.3600000000002,return
sale,2018-03-02,retail_medical,2831342.6499999966,sale
sale,2018-03-02,retail_recreational,95726.92999999996,sale
sale,2018-03-02,wholesale,1444811.5700000003,sale
return,2018-03-03,retail_medical,-435.57,return
sale,2018-03-03,retail_medical,2138177.969999998,sale
sale,2018-03-03,retail_recreational,75940.85999999996,sale
sale,2018-03-03,wholesale,1401890.8500000008,sale
return,2018-03-04,retail_medical,-394.44999999999993,return
sale,2018-03-04,retail_medical,2276244.77,sale
sale,2018-03-04,retail_recreational,74388.20999999996,sale
sale,2018-03-04,wholesale,4155552.5999999954,sale
return,2018-03-05,retail_medical,-294.12,return
sale,2018-03-05,retail_medical,2215518.3199999994,sale
sale,2018-03-05,wholesale,4820718.519999999,sale
return,2018-03-06,retail_medical,-447.89000000000004,return
sale,2018-03-06,retail_medical,2242938.6699999976,sale
sale,2018-03-06,wholesale,3888237.7699999954,sale
return,2018-03-07,retail_medical,-1085.3000000000002,return
sale,2018-03-07,retail_medical,2328899.040000001,sale
sale,2018-03-07,wholesale,3222428.5899999985,sale
return,2018-03-08,retail_medical,-823.0799999999999,return
sale,2018-03-08,retail_medical,3130644.889999993,sale
sale,2018-03-08,wholesale,6132680.409999996,sale
return,2018-03-09,retail_medical,-453.02000000000004,return
sale,2018-03-09,retail_medical,2667985.800000003,sale
sale,2018-03-09,retail_recreational,99800.82999999999,sale
sale,2018-03-09,wholesale,709895.8200000005,sale
return,2018-03-10,retail_medical,-371.57000000000005,return
sale,2018-03-10,retail_medical,2030409.1799999978,sale
sale,2018-03-10,retail_recreational,79237.65999999999,sale
sale,2018-03-10,wholesale,608198.5100000001,sale
return,2018-03-11,retail_medical,-279.1,return
sale,2018-03-11,retail_medical,2075847.1400000022,sale
sale,2018-03-11,retail_recreational,78443.64999999995,sale
sale,2018-03-11,wholesale,5713031.389999995,sale
return,2018-03-12,retail_medical,-441.93000000000006,return
sale,2018-03-12,retail_medical,2074915.7800000045,sale
sale,2018-03-12,retail_recreational,72700.15999999999,sale
sale,2018-03-12,wholesale,5726298.189999991,sale
return,2018-03-13,retail_medical,-359.25,return
sale,2018-03-13,retail_medical,2234292.4000000088,sale
return,2018-03-13,retail_recreational,13.69,return
sale,2018-03-13,retail_recreational,80107.24999999997,sale
sale,2018-03-13,wholesale,4127129.059999998,sale
return,2018-03-14,retail_medical,-601.7200000000004,return
sale,2018-03-14,retail_medical,2211287.140000002,sale
sale,2018-03-14,retail_recreational,83972.75999999995,sale
sale,2018-03-14,wholesale,4140361.509999994,sale
return,2018-03-15,retail_medical,-476.96000000000004,return
sale,2018-03-15,retail_medical,3062548.5400000014,sale
sale,2018-03-15,retail_recreational,109149.61999999994,sale
sale,2018-03-15,wholesale,4572287.460000009,sale
return,2018-03-16,retail_medical,-178.17,return
sale,2018-03-16,retail_medical,2678033.7200000007,sale
sale,2018-03-16,retail_recreational,98125.54,sale
sale,2018-03-16,wholesale,333188.1900000001,sale
return,2018-03-17,retail_medical,-322.68,return
sale,2018-03-17,retail_medical,2053505.7299999997,sale
sale,2018-03-17,retail_recreational,74157.15999999997,sale
sale,2018-03-17,wholesale,1252182.2099999993,sale
return,2018-03-18,retail_medical,-446.6,return
sale,2018-03-18,retail_medical,2033146.4000000027,sale
sale,2018-03-18,retail_recreational,77839.99999999991,sale
sale,2018-03-18,wholesale,5121489.589999994,sale
return,2018-03-19,retail_medical,-501.4699999999999,return
sale,2018-03-19,retail_medical,2177058.6200000043,sale
sale,2018-03-19,retail_recreational,82450.95999999993,sale
sale,2018-03-19,wholesale,8398168.14000001,sale
return,2018-03-20,retail_medical,-326.16999999999996,return
sale,2018-03-20,retail_medical,2217701.6700000004,sale
sale,2018-03-20,retail_recreational,87191.83999999991,sale
sale,2018-03-20,wholesale,4473334.509999996,sale
return,2018-03-21,retail_medical,-405.91,return
sale,2018-03-21,retail_medical,2285662.880000003,sale
sale,2018-03-21,retail_recreational,91013.87999999993,sale
sale,2018-03-21,wholesale,4253177.9099999955,sale
return,2018-03-22,retail_medical,-332.09999999999997,return
sale,2018-03-22,retail_medical,2931411.8999999994,sale
return,2018-03-22,retail_recreational,31.7,return
sale,2018-03-22,retail_recreational,146412.54000000007,sale
sale,2018-03-22,wholesale,4533100.570000001,sale
return,2018-03-23,retail_medical,-358.2699999999999,return
sale,2018-03-23,retail_medical,2599035.7200000044,sale
sale,2018-03-23,retail_recreational,125796.12999999995,sale
sale,2018-03-23,wholesale,723304.7500000003,sale
return,2018-03-24,retail_medical,-330.91,return
sale,2018-03-24,retail_medical,2051755.640000001,sale
return,2018-03-24,retail_recreational,0.01,return
sale,2018-03-24,retail_recreational,95613.46999999993,sale
sale,2018-03-24,wholesale,535849.56,sale
return,2018-03-25,retail_medical,-222.21,return
sale,2018-03-25,retail_medical,2063719.3899999983,sale
sale,2018-03-25,retail_recreational,98083.74999999991,sale
sale,2018-03-25,wholesale,3776340.960000002,sale
return,2018-03-26,retail_medical,-576.5699999999998,return
sale,2018-03-26,retail_medical,2090455.2200000004,sale
return,2018-03-26,retail_recreational,37.19,return
sale,2018-03-26,retail_recreational,99529.42999999995,sale
sale,2018-03-26,wholesale,5726688.160000005,sale
return,2018-03-27,retail_medical,-298.99,return
sale,2018-03-27,retail_medical,2178376.4800000014,sale
return,2018-03-27,retail_recreational,114.47,return
sale,2018-03-27,retail_recreational,102489.3299999999,sale
sale,2018-03-27,wholesale,8123527.110000004,sale
return,2018-03-28,retail_medical,-451.35999999999996,return
sale,2018-03-28,retail_medical,2292142.0800000024,sale
sale,2018-03-28,retail_recreational,110030.75999999986,sale
sale,2018-03-28,wholesale,3461216.690000001,sale
return,2018-03-29,retail_medical,-386.0100000000001,return
sale,2018-03-29,retail_medical,3288333.440000003,sale
sale,2018-03-29,retail_recreational,172261.7100000001,sale
sale,2018-03-29,wholesale,2734394.700000001,sale
return,2018-03-30,retail_medical,-487.53,return
sale,2018-03-30,retail_medical,2729390.6799999983,sale
sale,2018-03-30,retail_recreational,124286.64000000007,sale
sale,2018-03-30,wholesale,762857.8500000004,sale
return,2018-03-31,retail_medical,-249.72000000000003,return
sale,2018-03-31,retail_medical,1981873.6600000022,sale
sale,2018-03-31,retail_recreational,166485.43999999983,sale
sale,2018-03-31,wholesale,547785.6199999999,sale
return,2018-04-01,retail_medical,-548.4199999999998,return
sale,2018-04-01,retail_medical,2178915.430000003,sale
return,2018-04-01,retail_recreational,427.8,return
sale,2018-04-01,retail_recreational,207600.49999999983,sale
sale,2018-04-01,wholesale,3897615.010000002,sale
return,2018-04-02,retail_medical,-514.29,return
sale,2018-04-02,retail_medical,2305814.380000006,sale
sale,2018-04-02,retail_recreational,252518.07999999993,sale
sale,2018-04-02,wholesale,4043848.0,sale
return,2018-04-03,retail_medical,-155.78000000000003,return
sale,2018-04-03,retail_medical,2171724.2199999965,sale
sale,2018-04-03,retail_recreational,286802.3599999994,sale
sale,2018-04-03,wholesale,3465878.01,sale
return,2018-04-04,retail_medical,-244.9,return
sale,2018-04-04,retail_medical,2331029.2299999953,sale
sale,2018-04-04,retail_recreational,323203.9199999995,sale
sale,2018-04-04,wholesale,3339629.01,sale
return,2018-04-05,retail_medical,-576.8199999999999,return
sale,2018-04-05,retail_medical,2921538.989999982,sale
sale,2018-04-05,retail_recreational,410368.00999999954,sale
sale,2018-04-05,wholesale,4021012.910000003,sale
return,2018-04-06,retail_medical,-311.62,return
sale,2018-04-06,retail_medical,2519123.3099999973,sale
return,2018-04-06,retail_recreational,538.84,return
sale,2018-04-06,retail_recreational,379132.4499999997,sale
sale,2018-04-06,wholesale,568730.5700000002,sale
return,2018-04-07,retail_medical,-135.52,return
sale,2018-04-07,retail_medical,1948033.2500000014,sale
sale,2018-04-07,retail_recreational,336633.35999999964,sale
sale,2018-04-07,wholesale,456200.2799999999,sale
return,2018-04-08,retail_medical,-399.61,return
sale,2018-04-08,retail_medical,1950510.0299999972,sale
sale,2018-04-08,retail_recreational,326242.89999999973,sale
sale,2018-04-08,wholesale,4169364.3800000004,sale
return,2018-04-09,retail_medical,-282.25,return
sale,2018-04-09,retail_medical,2020003.5799999894,sale
return,2018-04-09,retail_recreational,307.63,return
sale,2018-04-09,retail_recreational,330428.8099999997,sale
sale,2018-04-09,wholesale,5244160.620000005,sale
return,2018-04-10,retail_medical,-404.88000000000005,return
sale,2018-04-10,retail_medical,2022918.6599999873,sale
sale,2018-04-10,retail_recreational,356612.5999999994,sale
sale,2018-04-10,wholesale,12227846.420000026,sale
return,2018-04-11,retail_medical,-617.28,return
sale,2018-04-11,retail_medical,2089441.7000000132,sale
sale,2018-04-11,retail_recreational,382505.0099999997,sale
sale,2018-04-11,wholesale,4503022.45,sale
return,2018-04-12,retail_medical,-295.77,return
sale,2018-04-12,retail_medical,2760624.089999992,sale
sale,2018-04-12,retail_recreational,555041.1799999995,sale
sale,2018-04-12,wholesale,3841633.91,sale
return,2018-04-13,retail_medical,-443.87,return
sale,2018-04-13,retail_medical,2392726.7999999993,sale
sale,2018-04-13,retail_recreational,454022.6399999991,sale
sale,2018-04-13,wholesale,665718.56,sale
return,2018-04-14,retail_medical,-281.87,return
sale,2018-04-14,retail_medical,1869981.6700000064,sale
sale,2018-04-14,retail_recreational,358929.0499999995,sale
sale,2018-04-14,wholesale,524629.3800000001,sale
return,2018-04-15,retail_medical,-213.34,return
sale,2018-04-15,retail_medical,1884156.6699999974,sale
return,2018-04-15,retail_recreational,852.98,return
sale,2018-04-15,retail_recreational,383980.4499999995,sale
sale,2018-04-15,wholesale,4490739.71,sale
return,2018-04-16,retail_medical,-327.82,return
sale,2018-04-16,retail_medical,1906052.0099999998,sale
sale,2018-04-16,retail_recreational,368695.1099999996,sale
sale,2018-04-16,wholesale,4495830.280000007,sale
return,2018-04-17,retail_medical,-797.0299999999997,return
sale,2018-04-17,retail_medical,2035413.0600000008,sale
sale,2018-04-17,retail_recreational,453548.31999999966,sale
sale,2018-04-17,wholesale,5085919.180000005,sale
return,2018-04-18,retail_medical,-316.97,return
sale,2018-04-18,retail_medical,2188012.3799999785,sale
sale,2018-04-18,retail_recreational,519365.16000000015,sale
sale,2018-04-18,wholesale,131369311.91999996,sale
return,2018-04-19,retail_medical,-489.6300000000001,return
sale,2018-04-19,retail_medical,5699618.600000095,sale
return,2018-04-19,retail_recreational,414.72,return
sale,2018-04-19,retail_recreational,1173780.930000001,sale
sale,2018-04-19,wholesale,1659762.3899999992,sale
return,2018-04-20,retail_medical,-511.26,return
sale,2018-04-20,retail_medical,2039822.1899999909,sale
sale,2018-04-20,retail_recreational,440156.8600000001,sale
sale,2018-04-20,wholesale,563241.33,sale
return,2018-04-21,retail_medical,-521.21,return
sale,2018-04-21,retail_medical,1489326.699999994,sale
sale,2018-04-21,retail_recreational,354999.96999999986,sale
sale,2018-04-21,wholesale,223021.58999999994,sale
return,2018-04-22,retail_medical,-464.3800000000001,return
sale,2018-04-22,retail_medical,1519053.2600000005,sale
sale,2018-04-22,retail_recreational,364935.9799999997,sale
sale,2018-04-22,wholesale,3427636.1899999995,sale
return,2018-04-23,retail_medical,-374.69000000000005,return
sale,2018-04-23,retail_medical,1577496.39000001,sale
return,2018-04-23,retail_recreational,279.53,return
sale,2018-04-23,retail_recreational,368140.9900000001,sale
sale,2018-04-23,wholesale,2974222.5400000033,sale
return,2018-04-24,retail_medical,-310.77000000000004,return
sale,2018-04-24,retail_medical,1741049.4099999983,sale
sale,2018-04-24,retail_recreational,413956.2599999998,sale
sale,2018-04-24,wholesale,4169788.800000002,sale
return,2018-04-25,retail_medical,-413.76000000000005,return
