,date,type,price_total
0,1900-01-01,retail_recreational,718.0
1,2011-08-08,retail_recreational,396.9
2,2017-04-30,retail_medical,588.8299999999999
3,2017-06-30,retail_medical,27.46
4,2017-07-08,retail_medical,34.32
5,2017-07-10,retail_medical,34.32
6,2017-10-02,retail_medical,61.64
7,2017-10-29,retail_medical,61.77
8,2017-11-05,retail_medical,474.0
9,2017-11-05,retail_recreational,2295.99
10,2017-11-06,retail_recreational,2278.4800000000005
11,2017-11-07,retail_medical,129.84
12,2017-11-07,retail_recreational,2085.6000000000013
13,2017-11-08,retail_medical,34.0
14,2017-11-08,retail_recreational,2189.3200000000006
15,2017-11-09,retail_medical,127.84
16,2017-11-09,retail_recreational,3429.9099999999994
17,2017-11-10,retail_medical,16.32
18,2017-11-10,retail_recreational,2367.1100000000006
19,2017-11-11,retail_medical,55.67
20,2017-11-11,retail_recreational,2410.120000000001
21,2017-11-12,retail_medical,326.0
22,2017-11-12,retail_recreational,2319.5400000000004
23,2017-11-13,retail_recreational,2120.310000000001
24,2017-11-14,retail_medical,241.67
25,2017-11-14,retail_recreational,2594.5699999999997
26,2017-11-15,retail_recreational,2230.9900000000016
27,2017-11-16,retail_medical,36.71
28,2017-11-16,retail_recreational,2764.6100000000006
29,2017-11-17,retail_recreational,2193.910000000002
30,2017-11-18,retail_medical,61.15
31,2017-11-18,retail_recreational,2824.110000000001
32,2017-11-19,retail_medical,149.04999999999998
33,2017-11-19,retail_recreational,2469.9499999999994
34,2017-11-20,retail_medical,17.68
35,2017-11-20,retail_recreational,2251.0699999999997
36,2017-11-21,retail_medical,356.49
37,2017-11-21,retail_recreational,3923.61
38,2017-11-22,retail_medical,20.39
39,2017-11-22,retail_recreational,1680.3300000000008
40,2017-11-23,retail_medical,86.15
41,2017-11-23,retail_recreational,2816.47
42,2017-11-24,retail_medical,46.54
43,2017-11-24,retail_recreational,2268.72
44,2017-11-25,retail_medical,8.16
45,2017-11-25,retail_recreational,2826.2799999999993
46,2017-11-26,retail_medical,235.93
47,2017-11-26,retail_recreational,2016.2800000000007
48,2017-11-27,retail_medical,28.88
49,2017-11-27,retail_recreational,2272.039999999999
50,2017-11-28,retail_medical,38.34
51,2017-11-28,retail_recreational,2637.8500000000013
52,2017-11-29,retail_medical,10.86
53,2017-11-29,retail_recreational,2407.1399999999994
54,2017-11-30,retail_medical,54.050000000000004
55,2017-11-30,retail_recreational,3828.5199999999963
56,2017-12-01,retail_medical,90.43
57,2017-12-01,retail_recreational,3262.629999999998
58,2017-12-02,retail_medical,58.14
59,2017-12-02,retail_recreational,2202.5299999999997
60,2017-12-03,retail_medical,139.04
61,2017-12-03,retail_recreational,1922.8000000000006
62,2017-12-04,retail_medical,27.2
63,2017-12-04,retail_recreational,2085.08
64,2017-12-05,retail_medical,31.27
65,2017-12-05,retail_recreational,2277.8299999999995
66,2017-12-06,retail_medical,15.5
67,2017-12-06,retail_recreational,2796.4300000000003
68,2017-12-07,retail_medical,6.8
69,2017-12-07,retail_recreational,3037.3799999999983
70,2017-12-08,retail_medical,107.33
71,2017-12-08,retail_recreational,2994.7799999999993
72,2017-12-09,retail_medical,21.42
73,2017-12-09,retail_recreational,2686.639999999999
74,2017-12-10,retail_medical,211.2
75,2017-12-10,retail_recreational,2019.22
76,2017-12-11,retail_recreational,2373.75
77,2017-12-12,retail_medical,240.87
78,2017-12-12,retail_recreational,2877.4299999999994
79,2017-12-13,retail_medical,146.96
80,2017-12-13,retail_recreational,2418.9100000000017
81,2017-12-14,retail_medical,4.08
82,2017-12-14,retail_recreational,3481.1799999999994
83,2017-12-15,retail_medical,4.08
84,2017-12-15,retail_recreational,2677.5
85,2017-12-16,retail_medical,3.4
86,2017-12-16,retail_recreational,2718.9900000000002
87,2017-12-17,retail_medical,98.22999999999999
88,2017-12-17,retail_recreational,2237.939999999999
89,2017-12-18,retail_recreational,2839.259999999998
90,2017-12-19,retail_medical,16.18
91,2017-12-21,retail_medical,38.58
92,2017-12-26,retail_medical,16.15
93,2017-12-26,retail_recreational,1500.0
94,2017-12-27,retail_medical,127.73
95,2017-12-28,retail_medical,11.21
96,2018-01-01,retail_medical,51.12
97,2018-01-02,retail_medical,303.88
98,2018-01-05,retail_medical,37.72
99,2018-01-09,retail_medical,42.91
100,2018-01-09,wholesale,100.0
101,2018-01-10,retail_medical,15.04
102,2018-01-12,retail_medical,37.47
103,2018-01-13,retail_medical,16.59
104,2018-01-15,retail_medical,51.58
105,2018-01-16,retail_medical,21.61
106,2018-01-18,retail_medical,49.32
107,2018-01-20,retail_medical,24.16
108,2018-01-22,retail_medical,34.46
109,2018-01-23,retail_medical,82.7
110,2018-01-24,retail_medical,89.86
111,2018-01-25,retail_medical,142.59
112,2018-01-26,retail_medical,106.66000000000001
113,2018-01-27,retail_medical,105.46
114,2018-01-28,retail_medical,46.78
115,2018-01-29,retail_medical,277.05
116,2018-01-30,retail_medical,663.06
117,2018-01-31,retail_medical,2771217.6599999727
118,2018-01-31,retail_recreational,67.76
119,2018-01-31,wholesale,28317.66000000001
120,2018-02-01,retail_medical,3435113.719999953
121,2018-02-01,retail_recreational,107.31
122,2018-02-01,wholesale,69308.52
123,2018-02-02,retail_medical,2815634.719999981
124,2018-02-02,retail_recreational,1267.3100000000002
125,2018-02-02,wholesale,187069.84999999995
126,2018-02-03,retail_medical,2054268.1799999848
127,2018-02-03,retail_recreational,14175.42999999997
128,2018-02-03,wholesale,351126.0799999998
129,2018-02-04,retail_medical,2222640.579999999
130,2018-02-04,retail_recreational,35067.74000000009
131,2018-02-04,wholesale,1237567.2300000004
132,2018-02-05,retail_medical,2148235.290000003
133,2018-02-05,retail_recreational,38281.06000000006
134,2018-02-05,wholesale,1789323.310000001
135,2018-02-06,retail_medical,2283237.779999994
136,2018-02-06,retail_recreational,40054.92999999996
137,2018-02-06,wholesale,1818059.7900000005
138,2018-02-07,retail_medical,2333889.67999999
139,2018-02-07,retail_recreational,45952.41000000028
140,2018-02-07,wholesale,1502726.2700000012
141,2018-02-08,retail_medical,3201411.699999982
142,2018-02-08,retail_recreational,56800.16000000034
143,2018-02-08,wholesale,1290395.3199999998
144,2018-02-09,retail_medical,2673735.9599999804
145,2018-02-09,retail_recreational,49879.470000000234
146,2018-02-09,wholesale,636815.7699999996
147,2018-02-10,retail_medical,2041981.5999999892
148,2018-02-10,retail_recreational,39635.33000000013
149,2018-02-10,wholesale,167820.07
150,2018-02-11,retail_medical,2108928.1499999957
151,2018-02-11,retail_recreational,41812.320000000145
152,2018-02-11,wholesale,1381109.0300000003
153,2018-02-12,retail_medical,2166460.6399999997
154,2018-02-12,retail_recreational,43511.910000000025
155,2018-02-12,wholesale,1097842.1300000001
156,2018-02-13,retail_medical,2440226.9599999962
157,2018-02-13,retail_recreational,46382.49999999999
158,2018-02-13,wholesale,6599498.84
159,2018-02-14,retail_medical,2406864.6899999925
160,2018-02-14,retail_recreational,56499.19000000007
161,2018-02-14,wholesale,5432121.48
162,2018-02-15,retail_medical,3242817.7799999854
163,2018-02-15,retail_recreational,72645.16000000038
164,2018-02-15,wholesale,3938358.220000001
165,2018-02-16,retail_medical,2706986.349999995
166,2018-02-16,retail_recreational,57550.220000000205
167,2018-02-16,wholesale,2350331.19
168,2018-02-17,retail_medical,2018390.8099999994
169,2018-02-17,retail_recreational,42626.16000000009
170,2018-02-17,wholesale,3805746.95
171,2018-02-18,retail_medical,2085832.6500000027
172,2018-02-18,retail_recreational,41471.39000000009
173,2018-02-18,wholesale,3288593.6899999985
174,2018-02-19,retail_medical,2293490.4599999916
175,2018-02-19,retail_recreational,62544.920000000275
176,2018-02-19,wholesale,4944541.080000002
177,2018-02-20,retail_medical,2319735.0999999964
178,2018-02-20,retail_recreational,43246.920000000006
179,2018-02-20,wholesale,4830576.1499999985
180,2018-02-21,retail_medical,2846702.6900000097
181,2018-02-21,retail_recreational,64983.15999999999
182,2018-02-21,wholesale,5576007.889999996
183,2018-02-22,retail_medical,3290013.7300000056
184,2018-02-22,retail_recreational,73998.07999999999
185,2018-02-22,wholesale,5786110.430000001
186,2018-02-23,retail_medical,2756447.6699999766
187,2018-02-23,retail_recreational,62756.21000000002
188,2018-02-23,wholesale,3629454.450000001
189,2018-02-24,retail_medical,2151087.5799999973
190,2018-02-24,retail_recreational,50378.63999999998
191,2018-02-24,wholesale,4726481.550000001
192,2018-02-25,retail_medical,2230917.120000009
193,2018-02-25,retail_recreational,53419.96999999993
194,2018-02-25,wholesale,8027433.179999999
195,2018-02-26,retail_medical,2178782.0900000026
196,2018-02-26,retail_recreational,51985.539999999964
197,2018-02-26,wholesale,4570382.700000001
198,2018-02-27,retail_medical,2465268.010000002
199,2018-02-27,retail_recreational,61998.24999999991
200,2018-02-27,wholesale,7351885.019999996
201,2018-02-28,retail_medical,2814909.429999997
202,2018-02-28,retail_recreational,81447.05000000009
203,2018-02-28,wholesale,5691943.869999996
204,2018-03-01,retail_medical,3377019.5200000135
205,2018-03-01,retail_recreational,105304.64000000006
206,2018-03-01,wholesale,3400865.3499999987
207,2018-03-02,retail_medical,2830841.289999997
208,2018-03-02,retail_recreational,99844.62999999996
209,2018-03-02,wholesale,1445411.5700000003
210,2018-03-03,retail_medical,2137854.399999998
211,2018-03-03,retail_recreational,79645.48999999996
212,2018-03-03,wholesale,1402010.8500000008
213,2018-03-04,retail_medical,2275860.5999999996
214,2018-03-04,retail_recreational,77987.61999999997
215,2018-03-04,wholesale,4170872.2499999953
216,2018-03-05,retail_medical,2218779.9299999992
217,2018-03-05,retail_recreational,84370.40999999989
218,2018-03-05,wholesale,4822461.969999999
219,2018-03-06,retail_medical,2248046.8399999975
220,2018-03-06,retail_recreational,97343.37999999993
221,2018-03-06,wholesale,3902600.569999995
222,2018-03-07,retail_medical,2334569.000000001
223,2018-03-07,retail_recreational,101792.67999999996
224,2018-03-07,wholesale,3231752.4799999986
225,2018-03-08,retail_medical,3137847.139999993
226,2018-03-08,retail_recreational,138764.93000000008
227,2018-03-08,wholesale,6594523.289999996
228,2018-03-09,retail_medical,2679581.7400000035
229,2018-03-09,retail_recreational,126257.91999999995
230,2018-03-09,wholesale,709895.8200000005
231,2018-03-10,retail_medical,2036182.729999998
232,2018-03-10,retail_recreational,99519.21999999997
233,2018-03-10,wholesale,608198.5100000001
234,2018-03-11,retail_medical,2080861.3100000022
235,2018-03-11,retail_recreational,98746.84999999995
236,2018-03-11,wholesale,5744819.299999995
237,2018-03-12,retail_medical,2080865.2000000046
238,2018-03-12,retail_recreational,93403.13999999998
239,2018-03-12,wholesale,5749663.189999991
240,2018-03-13,retail_medical,2240130.7400000086
241,2018-03-13,retail_recreational,100367.50999999995
242,2018-03-13,wholesale,4131093.059999998
243,2018-03-14,retail_medical,2217799.750000002
244,2018-03-14,retail_recreational,107752.03999999992
245,2018-03-14,wholesale,4159866.009999994
246,2018-03-15,retail_medical,3068953.4900000016
247,2018-03-15,retail_recreational,140927.43999999994
248,2018-03-15,wholesale,4572384.960000009
249,2018-03-16,retail_medical,2687258.000000001
250,2018-03-16,retail_recreational,123035.77999999998
251,2018-03-16,wholesale,343991.33000000013
252,2018-03-17,retail_medical,2060358.0299999998
253,2018-03-17,retail_recreational,95974.44999999997
254,2018-03-17,wholesale,1252182.2099999993
255,2018-03-18,retail_medical,2039322.0600000026
256,2018-03-18,retail_recreational,98601.4499999999
257,2018-03-18,wholesale,5157068.669999994
258,2018-03-19,retail_medical,2181967.230000004
259,2018-03-19,retail_recreational,103466.69999999991
260,2018-03-19,wholesale,8439331.80000001
261,2018-03-20,retail_medical,2225386.6800000006
262,2018-03-20,retail_recreational,111148.7999999999
263,2018-03-20,wholesale,4501353.799999996
264,2018-03-21,retail_medical,2291383.250000003
265,2018-03-21,retail_recreational,113810.00999999992
266,2018-03-21,wholesale,4378463.029999996
267,2018-03-22,retail_medical,2938135.5099999993
268,2018-03-22,retail_recreational,178982.75000000006
269,2018-03-22,wholesale,4542621.970000002
270,2018-03-23,retail_medical,2607092.8500000047
271,2018-03-23,retail_recreational,154411.09999999992
272,2018-03-23,wholesale,723304.7500000003
273,2018-03-24,retail_medical,2057355.2700000012
274,2018-03-24,retail_recreational,117795.12999999992
275,2018-03-24,wholesale,542609.56
276,2018-03-25,retail_medical,2068507.3699999982
277,2018-03-25,retail_recreational,118349.61999999991
278,2018-03-25,wholesale,3808083.350000002
279,2018-03-26,retail_medical,2096432.9300000004
280,2018-03-26,retail_recreational,121701.97999999995
281,2018-03-26,wholesale,5769648.480000005
282,2018-03-27,retail_medical,2183397.410000001
283,2018-03-27,retail_recreational,126785.5699999999
284,2018-03-27,wholesale,8125244.110000004
285,2018-03-28,retail_medical,2298565.9200000027
286,2018-03-28,retail_recreational,138215.50999999986
287,2018-03-28,wholesale,3495142.730000001
288,2018-03-29,retail_medical,3297129.8100000033
289,2018-03-29,retail_recreational,215604.4300000001
290,2018-03-29,wholesale,2743793.950000001
291,2018-03-30,retail_medical,2738492.7399999984
292,2018-03-30,retail_recreational,164274.02000000008
293,2018-03-30,wholesale,764719.3500000004
294,2018-03-31,retail_medical,1989265.7500000023
295,2018-03-31,retail_recreational,204803.68999999983
296,2018-03-31,wholesale,548805.6199999999
297,2018-04-01,retail_medical,2184732.920000003
298,2018-04-01,retail_recreational,248181.5299999998
299,2018-04-01,wholesale,3908563.540000002
300,2018-04-02,retail_medical,2311837.030000006
301,2018-04-02,retail_recreational,296098.69999999995
302,2018-04-02,wholesale,4048669.69
303,2018-04-03,retail_medical,2178952.829999997
304,2018-04-03,retail_recreational,328900.1099999994
305,2018-04-03,wholesale,3470941.71
306,2018-04-04,retail_medical,2339372.9599999953
307,2018-04-04,retail_recreational,374484.25999999954
308,2018-04-04,wholesale,3340529.13
309,2018-04-05,retail_medical,2930890.839999982
310,2018-04-05,retail_recreational,497272.2999999997
311,2018-04-05,wholesale,4029251.200000003
312,2018-04-06,retail_medical,2528211.5799999973
313,2018-04-06,retail_recreational,448266.18
314,2018-04-06,wholesale,568730.5700000002
315,2018-04-07,retail_medical,1955926.5500000014
316,2018-04-07,retail_recreational,398850.6599999997
317,2018-04-07,wholesale,464190.2699999999
318,2018-04-08,retail_medical,1955067.2799999972
319,2018-04-08,retail_recreational,382690.3099999998
320,2018-04-08,wholesale,4214637.350000001
321,2018-04-09,retail_medical,2025743.3199999894
322,2018-04-09,retail_recreational,392060.64999999985
323,2018-04-09,wholesale,5269116.980000005
324,2018-04-10,retail_medical,2028583.1499999876
325,2018-04-10,retail_recreational,421592.06999999954
326,2018-04-10,wholesale,12232310.820000026
327,2018-04-11,retail_medical,2096665.4700000132
328,2018-04-11,retail_recreational,453809.2799999999
329,2018-04-11,wholesale,4515157.2700000005
330,2018-04-12,retail_medical,2771833.6999999923
331,2018-04-12,retail_recreational,670385.4299999996
332,2018-04-12,wholesale,3847193.23
333,2018-04-13,retail_medical,2403261.7599999993
334,2018-04-13,retail_recreational,536430.639999999
335,2018-04-13,wholesale,665811.56
336,2018-04-14,retail_medical,1875156.9800000063
337,2018-04-14,retail_recreational,427483.6499999994
338,2018-04-14,wholesale,530929.3800000001
339,2018-04-15,retail_medical,1889685.1399999973
340,2018-04-15,retail_recreational,455916.6199999995
341,2018-04-15,wholesale,4495880.96
342,2018-04-16,retail_medical,1911759.5299999998
343,2018-04-16,retail_recreational,445285.26999999955
344,2018-04-16,wholesale,4518310.340000006
345,2018-04-17,retail_medical,2040293.6800000006
346,2018-04-17,retail_recreational,536569.6299999998
347,2018-04-17,wholesale,5110519.330000006
348,2018-04-18,retail_medical,2197020.1299999785
349,2018-04-18,retail_recreational,618877.63
350,2018-04-18,wholesale,131379511.94999996
351,2018-04-19,retail_medical,5718173.810000095
352,2018-04-19,retail_recreational,1409918.550000002
353,2018-04-19,wholesale,1659762.3899999992
354,2018-04-20,retail_medical,2050097.979999991
355,2018-04-20,retail_recreational,515572.79000000015
356,2018-04-20,wholesale,566879.33
357,2018-04-21,retail_medical,1494654.989999994
358,2018-04-21,retail_recreational,418030.7599999999
359,2018-04-21,wholesale,223401.58999999994
360,2018-04-22,retail_medical,1523922.2100000007
361,2018-04-22,retail_recreational,429893.1299999997
362,2018-04-22,wholesale,3452018.2299999995
363,2018-04-23,retail_medical,1582828.29000001
364,2018-04-23,retail_recreational,434261.7000000002
365,2018-04-23,wholesale,2985602.340000003
366,2018-04-24,retail_medical,1746228.8099999982
367,2018-04-24,retail_recreational,488246.7399999998
368,2018-04-24,wholesale,4187228.800000002
369,2018-04-25,retail_medical,1781185.569999997
370,2018-04-25,retail_recreational,511857.16000000003
371,2018-04-25,wholesale,4739565.05
372,2018-04-26,retail_medical,2348778.100000031
373,2018-04-26,retail_recreational,716621.4400000004
374,2018-04-26,wholesale,2959216.989999998
375,2018-04-27,retail_medical,2112664.8200000115
376,2018-04-27,retail_recreational,648151.5499999999
377,2018-04-27,wholesale,568928.9300000002
378,2018-04-28,retail_medical,1671926.0099999984
379,2018-04-28,retail_recreational,529347.28
380,2018-04-28,wholesale,772921.5599999999
381,2018-04-29,retail_medical,1765916.4900000005
382,2018-04-29,retail_recreational,495350.2699999998
383,2018-04-29,wholesale,208797740.7599999
384,2018-04-30,retail_medical,2081469.0999999873
385,2018-04-30,retail_recreational,635385.12
386,2018-04-30,wholesale,5378211.739999997
387,2018-05-01,retail_medical,1845057.4399999839
388,2018-05-01,retail_recreational,593475.7500000007
389,2018-05-01,wholesale,3227099.9699999993
390,2018-05-02,retail_medical,2050905.5100000075
391,2018-05-02,retail_recreational,678403.4400000002
392,2018-05-02,wholesale,6911304.8600000115
393,2018-05-03,retail_medical,2523097.2699999935
394,2018-05-03,retail_recreational,909054.51
395,2018-05-03,wholesale,2750507.9900000007
396,2018-05-04,retail_medical,2149930.899999995
397,2018-05-04,retail_recreational,755552.89
398,2018-05-04,wholesale,794976.0499999998
399,2018-05-05,retail_medical,1661600.859999994
400,2018-05-05,retail_recreational,618806.6499999997
401,2018-05-05,wholesale,373695.01999999984
402,2018-05-06,retail_medical,1682598.1099999943
403,2018-05-06,retail_recreational,632177.7299999997
404,2018-05-06,wholesale,3655937.74
405,2018-05-07,retail_medical,1694864.7199999965
406,2018-05-07,retail_recreational,606063.2699999998
407,2018-05-07,wholesale,3371955.5700000017
408,2018-05-08,retail_medical,1754449.1399999876
409,2018-05-08,retail_recreational,636630.8800000002
410,2018-05-08,wholesale,3495673.8500000015
411,2018-05-09,retail_medical,1881713.5299999923
412,2018-05-09,retail_recreational,703864.7299999997
413,2018-05-09,wholesale,3119086.7
414,2018-05-10,retail_medical,2402395.5599999884
415,2018-05-10,retail_recreational,945294.81
416,2018-05-10,wholesale,2678263.820000002
417,2018-05-11,retail_medical,2059728.670000001
418,2018-05-11,retail_recreational,812757.8700000015
419,2018-05-11,wholesale,523988.62000000005
420,2018-05-12,retail_medical,1611326.79999999
421,2018-05-12,retail_recreational,662620.5500000013
422,2018-05-12,wholesale,505192.1999999999
423,2018-05-13,retail_medical,1546756.9199999939
424,2018-05-13,retail_recreational,654409.3000000006
425,2018-05-13,wholesale,3677595.0300000003
426,2018-05-14,retail_medical,1687151.679999993
427,2018-05-14,retail_recreational,691287.4700000013
428,2018-05-14,wholesale,3182465.359999994
429,2018-05-15,retail_medical,1742833.219999995
430,2018-05-15,retail_recreational,725927.5300000019
431,2018-05-15,wholesale,2843564.670000001
432,2018-05-16,retail_medical,1772136.5200000042
433,2018-05-16,retail_recreational,756479.7100000012
434,2018-05-16,wholesale,2525020.8800000013
435,2018-05-17,retail_medical,2379153.8799999855
436,2018-05-17,retail_recreational,1063696.330000001
437,2018-05-17,wholesale,2387733.2600000002
438,2018-05-18,retail_medical,1992794.0500000024
439,2018-05-18,retail_recreational,851668.9400000017
440,2018-05-18,wholesale,459854.2299999999
441,2018-05-19,retail_medical,1559525.3399999996
442,2018-05-19,retail_recreational,724661.6000000011
443,2018-05-19,wholesale,483584.68999999994
444,2018-05-20,retail_medical,1615215.4199999976
445,2018-05-20,retail_recreational,737687.8000000014
446,2018-05-20,wholesale,3160515.2899999977
447,2018-05-21,retail_medical,1608930.609999991
448,2018-05-21,retail_recreational,735683.4900000014
449,2018-05-21,wholesale,3512371.320000002
450,2018-05-22,retail_medical,1662404.0899999975
451,2018-05-22,retail_recreational,779652.880000002
452,2018-05-22,wholesale,3540581.589999998
453,2018-05-23,retail_medical,1804884.4699999795
454,2018-05-23,retail_recreational,894755.9500000019
455,2018-05-23,wholesale,3727743.420000002
456,2018-05-24,retail_medical,2454692.7199999536
457,2018-05-24,retail_recreational,1226363.1700000025
458,2018-05-24,wholesale,2607166.710000001
459,2018-05-25,retail_medical,1932353.9000000337
460,2018-05-25,retail_recreational,942321.2100000016
461,2018-05-25,wholesale,331749.57
462,2018-05-26,retail_medical,1524397.8399999924
463,2018-05-26,retail_recreational,776766.8300000018
464,2018-05-26,wholesale,520610.50000000006
465,2018-05-27,retail_medical,1422561.7199999832
466,2018-05-27,retail_recreational,736346.0500000011
467,2018-05-27,wholesale,1581731.479999999
468,2018-05-28,retail_medical,1445856.9000000104
469,2018-05-28,retail_recreational,735023.1200000012
470,2018-05-28,wholesale,4306375.799999998
471,2018-05-29,retail_medical,1528992.4699999779
472,2018-05-29,retail_recreational,797587.3100000022
473,2018-05-29,wholesale,4050693.0999999973
474,2018-05-30,retail_medical,1299148.4400000034
475,2018-05-30,retail_recreational,1255373.859999993
476,2018-05-30,wholesale,3725924.9000000013
477,2018-05-31,retail_medical,957167.5299999974
478,2018-05-31,retail_recreational,3049042.370000016
479,2018-05-31,wholesale,2273697.5999999996
480,2018-06-01,retail_medical,549293.5000000009
481,2018-06-01,retail_recreational,2412303.019999983
482,2018-06-01,wholesale,463254.26000000007
483,2018-06-02,retail_medical,420951.4800000034
484,2018-06-02,retail_recreational,1901198.4399999855
485,2018-06-02,wholesale,543885.6200000001
486,2018-06-03,retail_medical,360916.6899999962
487,2018-06-03,retail_recreational,2007641.9599999823
488,2018-06-03,wholesale,3902058.1199999982
489,2018-06-04,retail_medical,421583.40000000224
490,2018-06-04,retail_recreational,2104694.949999986
491,2018-06-04,wholesale,3558481.240000003
492,2018-06-05,retail_medical,408595.55000000173
493,2018-06-05,retail_recreational,2040924.6199999957
494,2018-06-05,wholesale,3583465.8499999996
495,2018-06-06,retail_medical,415592.56000000134
496,2018-06-06,retail_recreational,2195966.1699999673
497,2018-06-06,wholesale,3161453.0300000017
498,2018-06-07,retail_medical,526067.5900000064
499,2018-06-07,retail_recreational,2918594.689999996
500,2018-06-07,wholesale,3418155.780000001
