,sold_at,type,price_total,status,date
0,1900-01-01 00:00:00,retail_recreational,3801.2,sale,1900-01-01
1,2017-11-05 16:00:00,retail_medical,474.0,sale,2017-11-05
2,2017-11-06 16:00:00,retail_medical,0.0,sale,2017-11-06
3,2017-11-07 16:00:00,retail_medical,129.84,sale,2017-11-07
4,2017-11-08 16:00:00,retail_medical,34.0,sale,2017-11-08
5,2017-11-09 16:00:00,retail_medical,127.84,sale,2017-11-09
6,2017-11-10 16:00:00,retail_medical,16.32,sale,2017-11-10
7,2017-11-11 16:00:00,retail_medical,55.67,sale,2017-11-11
8,2017-11-12 16:00:00,retail_medical,326.0,sale,2017-11-12
9,2017-11-13 16:00:00,retail_medical,0.0,sale,2017-11-13
10,2017-11-14 16:00:00,retail_medical,241.67,sale,2017-11-14
11,2017-11-15 16:00:00,retail_medical,0.0,sale,2017-11-15
12,2017-11-16 16:00:00,retail_medical,36.71,sale,2017-11-16
13,2017-11-17 16:00:00,retail_medical,0.0,sale,2017-11-17
14,2017-11-18 16:00:00,retail_medical,61.15,sale,2017-11-18
15,2017-11-19 16:00:00,retail_medical,149.04999999999998,sale,2017-11-19
16,2017-11-20 16:00:00,retail_medical,17.68,sale,2017-11-20
17,2017-11-21 16:00:00,retail_medical,356.49,sale,2017-11-21
18,2017-11-22 16:00:00,retail_medical,20.39,sale,2017-11-22
19,2017-11-23 16:00:00,retail_medical,86.15,sale,2017-11-23
20,2017-11-24 16:00:00,retail_medical,46.54,sale,2017-11-24
21,2017-11-25 16:00:00,retail_medical,8.16,sale,2017-11-25
22,2017-11-26 16:00:00,retail_medical,235.93,sale,2017-11-26
23,2017-11-27 16:00:00,retail_medical,28.88,sale,2017-11-27
24,2017-11-28 16:00:00,retail_medical,38.34,sale,2017-11-28
25,2017-11-29 16:00:00,retail_medical,10.86,sale,2017-11-29
26,2017-11-30 16:00:00,retail_medical,54.050000000000004,sale,2017-11-30
27,2017-12-01 16:00:00,retail_medical,90.43,sale,2017-12-01
28,2017-12-02 16:00:00,retail_medical,58.14,sale,2017-12-02
29,2017-12-03 16:00:00,retail_medical,139.04,sale,2017-12-03
30,2017-12-04 16:00:00,retail_medical,27.2,sale,2017-12-04
31,2017-12-05 16:00:00,retail_medical,31.27,sale,2017-12-05
32,2017-12-06 16:00:00,retail_medical,15.5,sale,2017-12-06
33,2017-12-07 16:00:00,retail_medical,6.8,sale,2017-12-07
34,2017-12-08 16:00:00,retail_medical,107.33,sale,2017-12-08
35,2017-12-09 16:00:00,retail_medical,21.42,sale,2017-12-09
36,2017-12-10 16:00:00,retail_medical,211.2,sale,2017-12-10
37,2017-12-11 16:00:00,retail_medical,0.0,sale,2017-12-11
38,2017-12-12 16:00:00,retail_medical,240.87,sale,2017-12-12
39,2017-12-13 16:00:00,retail_medical,146.96,sale,2017-12-13
40,2017-12-14 16:00:00,retail_medical,4.08,sale,2017-12-14
41,2017-12-15 16:00:00,retail_medical,4.08,sale,2017-12-15
42,2017-12-16 16:00:00,retail_medical,3.4,sale,2017-12-16
43,2017-12-17 16:00:00,retail_medical,98.22999999999999,sale,2017-12-17
44,2017-12-18 16:00:00,retail_medical,0.0,sale,2017-12-18
45,2017-12-19 16:00:00,retail_medical,16.18,sale,2017-12-19
46,2017-12-20 16:00:00,retail_medical,0.0,sale,2017-12-20
47,2017-12-21 16:00:00,retail_medical,38.58,sale,2017-12-21
48,2017-12-22 16:00:00,retail_medical,0.0,sale,2017-12-22
49,2017-12-23 16:00:00,retail_medical,0.0,sale,2017-12-23
50,2017-12-24 16:00:00,retail_medical,0.0,sale,2017-12-24
51,2017-12-25 16:00:00,retail_medical,0.0,sale,2017-12-25
52,2017-12-25 16:00:00,retail_recreational,0.0,sale,2017-12-25
53,2017-12-26 16:00:00,retail_medical,16.15,sale,2017-12-26
54,2017-12-26 16:00:00,retail_recreational,1500.0,sale,2017-12-26
55,2017-12-27 16:00:00,retail_medical,127.73,sale,2017-12-27
56,2017-12-28 16:00:00,retail_medical,11.21,sale,2017-12-28
57,2017-12-29 16:00:00,retail_medical,0.0,sale,2017-12-29
58,2017-12-30 16:00:00,retail_medical,0.0,sale,2017-12-30
59,2017-12-31 16:00:00,retail_medical,0.0,sale,2017-12-31
60,2018-01-01 16:00:00,retail_medical,51.12,sale,2018-01-01
61,2018-01-02 16:00:00,retail_medical,303.88,sale,2018-01-02
62,2018-01-03 16:00:00,retail_medical,0.0,sale,2018-01-03
63,2018-01-04 16:00:00,retail_medical,0.0,sale,2018-01-04
64,2018-01-05 16:00:00,retail_medical,37.72,sale,2018-01-05
65,2018-01-06 16:00:00,retail_medical,0.0,sale,2018-01-06
66,2018-01-07 16:00:00,retail_medical,0.0,sale,2018-01-07
67,2018-01-08 16:00:00,retail_medical,0.0,sale,2018-01-08
68,2018-01-09 16:00:00,retail_medical,42.91,sale,2018-01-09
69,2018-01-10 16:00:00,retail_medical,15.04,sale,2018-01-10
70,2018-01-11 16:00:00,retail_medical,0.0,sale,2018-01-11
71,2018-01-12 16:00:00,retail_medical,37.47,sale,2018-01-12
72,2018-01-13 16:00:00,retail_medical,16.59,sale,2018-01-13
73,2018-01-14 16:00:00,retail_medical,0.0,sale,2018-01-14
74,2018-01-15 16:00:00,retail_medical,51.58,sale,2018-01-15
75,2018-01-16 16:00:00,retail_medical,21.61,sale,2018-01-16
76,2018-01-17 16:00:00,retail_medical,0.0,sale,2018-01-17
77,2018-01-18 16:00:00,retail_medical,49.32,sale,2018-01-18
78,2018-01-19 16:00:00,retail_medical,0.0,sale,2018-01-19
79,2018-01-20 16:00:00,retail_medical,24.16,sale,2018-01-20
80,2018-01-21 16:00:00,retail_medical,0.0,sale,2018-01-21
81,2018-01-22 16:00:00,retail_medical,34.46,sale,2018-01-22
82,2018-01-23 16:00:00,retail_medical,82.7,sale,2018-01-23
83,2018-01-24 16:00:00,retail_medical,89.86,sale,2018-01-24
84,2018-01-25 16:00:00,retail_medical,142.59,sale,2018-01-25
85,2018-01-26 16:00:00,retail_medical,106.66000000000001,sale,2018-01-26
86,2018-01-27 16:00:00,retail_medical,105.46,sale,2018-01-27
87,2018-01-28 16:00:00,retail_medical,46.78,sale,2018-01-28
88,2018-01-29 16:00:00,retail_medical,277.05,sale,2018-01-29
89,2018-01-30 16:00:00,retail_medical,663.06,sale,2018-01-30
90,2018-01-31 16:00:00,retail_medical,-670.8900000000002,return,2018-01-31
91,2018-01-31 16:00:00,retail_medical,2771888.549999973,sale,2018-01-31
92,2018-01-31 16:00:00,wholesale,28317.66000000001,sale,2018-01-31
93,2018-02-01 16:00:00,retail_medical,-1205.7200000000003,return,2018-02-01
94,2018-02-01 16:00:00,retail_medical,3436319.4399999534,sale,2018-02-01
95,2018-02-01 16:00:00,wholesale,69308.52,sale,2018-02-01
96,2018-02-02 16:00:00,retail_medical,-584.6800000000002,return,2018-02-02
97,2018-02-02 16:00:00,retail_medical,2816219.3999999813,sale,2018-02-02
98,2018-02-02 16:00:00,wholesale,187069.84999999995,sale,2018-02-02
99,2018-02-03 16:00:00,retail_medical,-731.5600000000003,return,2018-02-03
100,2018-02-03 16:00:00,retail_medical,2054999.7399999849,sale,2018-02-03
101,2018-02-03 16:00:00,wholesale,351126.0799999998,sale,2018-02-03
102,2018-02-04 16:00:00,retail_medical,-682.0300000000001,return,2018-02-04
103,2018-02-04 16:00:00,retail_medical,2223322.609999999,sale,2018-02-04
104,2018-02-04 16:00:00,retail_recreational,35067.74000000009,sale,2018-02-04
105,2018-02-04 16:00:00,wholesale,1237567.2300000004,sale,2018-02-04
106,2018-02-05 16:00:00,retail_medical,-571.7299999999999,return,2018-02-05
107,2018-02-05 16:00:00,retail_medical,2148807.020000003,sale,2018-02-05
108,2018-02-05 16:00:00,wholesale,1789323.310000001,sale,2018-02-05
109,2018-02-06 16:00:00,retail_medical,-469.02999999999986,return,2018-02-06
110,2018-02-06 16:00:00,retail_medical,2283706.809999994,sale,2018-02-06
